Topic,Count,assigned_group,best_score,confidence,Name,Representation,Representative_Docs
547,61,1.2 Nhu cầu ăn kiêng/giảm cân,5.0,thấp,547_gạo đen_đen gạo_thích gạo_ăn gạo,"['gạo đen', 'đen gạo', 'thích gạo', 'ăn gạo', 'quen gạo', 'thường gạo', 'ăn cơm', 'cẩm gạo', 'vị gạo', 'nhiên gạo']","['gạo lứt đen ăn ngon', 'gạo lứt đen ăn ngon hơn', 'gạo lứt đen ăn ngon hơn']"
680,53,1.2 Nhu cầu ăn kiêng/giảm cân,6.0,trung bình,680_kiêng ăn_độ ăn_dùng ăn_quen ăn,"['kiêng ăn', 'độ ăn', 'dùng ăn', 'quen ăn', 'để ăn', 'học ăn', 'hợp ăn', 'dụng ăn', 'các ăn', 'kiêng đúng']","['vì ăn kiêng', 'vì loại ăn kiêng', 'vì ăn kiêng']"
691,52,1.2 Nhu cầu ăn kiêng/giảm cân,7.0,trung bình,691_cân uống_uống giảm_cân mua_cách uống,"['cân uống', 'uống giảm', 'cân mua', 'cách uống', 'uống hơn', 'thiện cân', 'cân dùng', 'cân mong', 'giảm mỡ', 'cân gì']","['mua để uống giảm cân', 'mua để uống giảm cân', 'mua về uống để giảm cân']"
722,51,1.2 Nhu cầu ăn kiêng/giảm cân,29.0,cao,722_hương_vị gạo_hương_vị cơm_gạo đen_mùi gạo,"['hương_vị gạo', 'hương_vị cơm', 'gạo đen', 'mùi gạo', 'gạo nứt', 'bún gạo', 'vị gạo', 'hạt gạo', 'gạo lút', 'gạo lức']","['hương_vị gạo lứt đen', 'hương_vị gạo lứt đen', 'hương_vị gạo lứt đen']"
733,50,1.2 Nhu cầu ăn kiêng/giảm cân,8.0,trung bình,733_đen gạo_gạo đen_hình gạo_gạo màu,"['đen gạo', 'gạo đen', 'hình gạo', 'gạo màu', 'giống gạo', 'bún gạo', 'dẻo gạo', 'nhiều gạo', 'hạt gạo', 'gạo nhìn']","['gạo lứt đen hình', 'chỉ băn khoăn sao nước vo gạo ra màu đen so các nơi khác', 'chỉ băn khoăn sao nước vo gạo ra màu đen so các nơi khác']"
795,48,1.2 Nhu cầu ăn kiêng/giảm cân,29.0,cao,795_hương_vị cơm_gạo hương_vị_thơm gạo_dẻo cơm,"['hương_vị cơm', 'gạo hương_vị', 'thơm gạo', 'dẻo cơm', 'gạo nếp', 'gạo nứt', 'bún gạo', 'vui gạo', 'giống gạo', 'chuẩn gạo']","['hương_vị bún gạo lứt', 'hương_vị bún gạo lứt', 'hương_vị bún gạo lứt']"
803,47,1.2 Nhu cầu ăn kiêng/giảm cân,44.0,cao,803_thơm_ngon gạo_ngọt gạo_vui gạo_gạo thơm_ngon,"['thơm_ngon gạo', 'ngọt gạo', 'vui gạo', 'gạo thơm_ngon', 'vị gạo', 'ôi gạo', 'gạo nếp', 'hương_vị gạo', 'tráng gạo', 'từ gạo']","['hương_vị ngon ăn giống gạo nếp cẩm thơm dẻo màu đẹp', 'hương vị vui ẻo thơm gạo lứt ngon dẻo ăn đóng gói muốn giảm cân', 'hương vị vui ăn bún gạo lứt ngon']"
851,46,1.2 Nhu cầu ăn kiêng/giảm cân,13.0,cao,851_1kg gạo_gạo mua_gạo giá_kiêng gạo,"['1kg gạo', 'gạo mua', 'gạo giá', 'kiêng gạo', 'bằng gạo', 'phẩm gạo', 'gạo hơn', 'chút cơm', 'lâu gạo', 'gạo cảm']","['mua 1kg để ăn thử xem sao gạo lứt ngon', 'gạo ngon mềm mua lần đầu để ăn thử nhận thêm 3kg giờ đặt các bánh vặt giảm cân mẹ lớn tuổi', 'chưa biết nui thế nào mua để lâu ăn mì xào bò lấy ra hoặc nấu mọc các món làm từ gạo lứt giá không rẻ tùy loại nói chung hơn 30k nửa cân']"
903,44,1.2 Nhu cầu ăn kiêng/giảm cân,12.0,cao,903_ngon gạo_gạo ăn_nui gạo_vui gạo,"['ngon gạo', 'gạo ăn', 'nui gạo', 'vui gạo', 'xơ gạo', 'ăn gạo', 'chuẩn gạo', 'đậu gạo', 'cơm gạo', 'bánh gạo']","['gạo lứt ăn ngon', 'gạo lứt ăn ngon', 'gạo lứt ăn ngon']"
945,43,1.2 Nhu cầu ăn kiêng/giảm cân,12.0,cao,945_ngon gạo_thanh gạo_phở gạo_mì gạo,"['ngon gạo', 'thanh gạo', 'phở gạo', 'mì gạo', 'ngon mì', 'ngon thanh', 'lứt ngon', 'ngon phở', 'mì', '']","['gạo lứt ngon', 'gạo lứt ngon', 'gạo lứt ngon']"
1250,35,1.2 Nhu cầu ăn kiêng/giảm cân,17.0,cao,1250_ăn keto_ăn eatclean_ăn bát_mì ăn,"['ăn keto', 'ăn eatclean', 'ăn bát', 'mì ăn', 'mấy ăn', 'ăn đồ', 'cơm nưa', 'ăn đơn', 'nưa ăn', 'keo']","['thích hợp ăn keto', 'thích hợp ăn keto', 'thích hợp ăn keto']"
1312,34,1.2 Nhu cầu ăn kiêng/giảm cân,6.0,trung bình,1312_ít calo_calo ít_calo hơn_calo,"['ít calo', 'calo ít', 'calo hơn', 'calo', 'lại ít', 'calo ăn', 'ít lại', 'lượng calo', 'dù ít', 'đúng ít']","['lại ít calo', 'ít calo hơn', 'ít calo hơn bao bì đẹp mãi ủng họ dhop']"
1335,34,1.2 Nhu cầu ăn kiêng/giảm cân,6.0,trung bình,1335_calo ăn_ít calo_phần ăn_miến ăn,"['calo ăn', 'ít calo', 'phần ăn', 'miến ăn', 'calo mì', 'ăn ít', 'calo ít', 'ăn bún', 'muốn ăn', 'ăn tuy']","['bún nưa ăn ngon lại ít calo', 'ăn ngon ít calo', 'ăn ngon dễ ít calo']"
1382,32,1.2 Nhu cầu ăn kiêng/giảm cân,7.0,trung bình,1382_vọng giảm_cân muốn_cân tốt_mong giảm,"['vọng giảm', 'cân muốn', 'cân tốt', 'mong giảm', 'cân mong', 'hi vọng', 'hy vọng', 'muốn giảm', 'vọng ăn', 'cân thành']","['hi vọng giảm cân', 'hy vọng giảm cân thành công mì nưa', 'hi vọng giảm cân thành công']"
1390,32,1.2 Nhu cầu ăn kiêng/giảm cân,11.0,cao,1390_ăn eatclean_phẩm ăn_ăn tanh_ăn bữa,"['ăn eatclean', 'phẩm ăn', 'ăn tanh', 'ăn bữa', 'đói ăn', 'nhẹ ăn', 'ăn đói', 'ăn cuốn', 'đói ổn', 'ăn ngán']","['ăn không bị ngán', 'ăn không bị ngán', 'ăn không bị ngán']"
1418,32,1.2 Nhu cầu ăn kiêng/giảm cân,12.0,cao,1418_ăn tốt_ngon ăn_mua ăn_món ăn,"['ăn tốt', 'ngon ăn', 'mua ăn', 'món ăn', 'trung ăn', 'thị ăn', 'nào ăn', 'ăn thêm', 'ngon hàng', 'ăn eatclean']","['mua ăn ngon', 'mua ăn ngon', 'mua ăn ngon']"
1471,31,1.2 Nhu cầu ăn kiêng/giảm cân,12.0,cao,1471_cơm thơm_thơm gạo_gạo nứt_gạo dẻo,"['cơm thơm', 'thơm gạo', 'gạo nứt', 'gạo dẻo', 'gạo lức', 'thơm cơm', 'cơm dẻo', 'dẻo gạo', 'lứt gạo', 'rời gạo']","['gạo lứt thơm', 'gạo lứt thơm', 'gạo lứt thơm']"
1484,31,1.2 Nhu cầu ăn kiêng/giảm cân,25.0,cao,1484_nấu gạo_cơm dẻo_trộn gạo_ngâm gạo,"['nấu gạo', 'cơm dẻo', 'trộn gạo', 'ngâm gạo', 'trc gạo', 'gạo đen', 'mix gạo', 'dụng gạo', 'từ gạo', 'bún gạo']","['mua lần trc gạo tam sắc bây giờ thêm lứt đen nấu ăn mềm dẻo', 'gạo lứt đen nấu cơm mềm dẻo ngon', 'gạo lứt đen nấu cơm mềm dẻo ngon']"
1518,30,1.2 Nhu cầu ăn kiêng/giảm cân,11.0,cao,1518_gạo đen_dẻo gạo_bún gạo_hoạ gạo,"['gạo đen', 'dẻo gạo', 'bún gạo', 'hoạ gạo', 'cẩn_thận gạo', 'lần gạo', 'đóng_gói_kỹ gạo', 'hàng gạo', 'gạo nước', 'cơ gạo']","['gạo lứt đen điện biên', 'gạo lứt đen điện biên', 'gạo lứt đen điện biên']"
1599,29,1.2 Nhu cầu ăn kiêng/giảm cân,28.0,cao,1599_thơm_ngon gạo_gạo làm_dụng gạo_bằng gạo,"['thơm_ngon gạo', 'gạo làm', 'dụng gạo', 'bằng gạo', 'vị gạo', 'dùng gạo', 'kĩ gạo', 'gạo tím', 'gạo tặng', 'gạo vị']","['gạo rang làm sữa hạt thơm_ngon', 'gạo lứt thơm mua về làm sữa hạt', 'mua gạo lứt về nấu nước uống ước mơ giảm cân nhiều sữa con ăn']"
1671,28,1.2 Nhu cầu ăn kiêng/giảm cân,7.0,trung bình,1671_cân giảm_cân hỗ_cân nhiều_trợ giảm,"['cân giảm', 'cân hỗ', 'cân nhiều', 'trợ giảm', 'tiêu hóa', 'trình giảm', 'ăn giảm', 'cân tiêu', 'hóa hỗ', 'trợ ăn']","['hỗ trợ giảm cân', 'hỗ trợ giảm cân', 'giảm cân hỗ trợ']"
1705,28,1.2 Nhu cầu ăn kiêng/giảm cân,17.0,cao,1705_gạo ngon_bánh gạo_gạo thích_tráng gạo,"['gạo ngon', 'bánh gạo', 'gạo thích', 'tráng gạo', 'gạo lức', 'gạo bé', 'giòn gạo', 'gạo vị', 'gạo sấy', 'thay gạo']","['bánh gạo lứt nguyên vị ăn ngon', 'bánh gạo lứt ăn ngon', 'bánh gạo lứt ăn ngon']"
1765,27,1.2 Nhu cầu ăn kiêng/giảm cân,13.0,cao,1765_hợp ăn_kiêng thích_ng ăn_thích hợp,"['hợp ăn', 'kiêng thích', 'ng ăn', 'thích hợp', 'giòn thích', 'kiêng giòn', 'hợp ng', '', '', '']","['thích hợp ăn kiêng', 'thích hợp ăn kiêng', 'thích hợp ăn kiêng']"
1827,26,1.2 Nhu cầu ăn kiêng/giảm cân,6.0,trung bình,1827_eat clean_hợp ăn_dưỡng eat_ăn eat,"['eat clean', 'hợp ăn', 'dưỡng eat', 'ăn eat', 'ăn quen', 'ăn đồ', 'ăn uống', 'để ăn', 'đợt ăn', 'muốn ăn']","['thích hợp mấy cưng ăn eat clean', 'thích hợp mấy cưng ăn eat clean', 'phù hợp ăn eat clean']"
1866,25,1.2 Nhu cầu ăn kiêng/giảm cân,11.0,cao,1866_gạo ổn_ổn gạo_gạo ngon_tiếp gạo,"['gạo ổn', 'ổn gạo', 'gạo ngon', 'tiếp gạo', 'gạo vẻ', 'nui gạo', 'dùng gạo', 'bún gạo', 'hạt gạo', 'gạo dẻo']","['gạo lứt ổn', 'dễ bảo quản gạo ổn ủng hộ tiếp', 'dễ bảo quản gạo ổn ủng hộ tiếp']"
1933,24,1.2 Nhu cầu ăn kiêng/giảm cân,13.0,cao,1933_kiêng ăn_độ ăn_dùng ăn_kiêng ngon,"['kiêng ăn', 'độ ăn', 'dùng ăn', 'kiêng ngon', 'ăn vặt', 'kiêng mua', 'về ăn', 'mua ăn', 'để ăn', 'mua dùng']","['mua để ăn kiêng', 'mua để ăn kiêng', 'ăn kiêng mua']"
2020,23,1.2 Nhu cầu ăn kiêng/giảm cân,24.0,cao,2020_thơm_ngon gạo_gạo thơm_ngon_ngon gạo_bánh gạo,"['thơm_ngon gạo', 'gạo thơm_ngon', 'ngon gạo', 'bánh gạo', 'gạo dẻo', 'thơm_ngon bánh', 'lứt thơm_ngon', 'dẻo thơm_ngon', 'dẻo thơm', 'thơm ngon']","['gạo lứt thơm_ngon', 'gạo lứt thơm_ngon', 'gạo lứt thơm_ngon']"
2024,23,1.2 Nhu cầu ăn kiêng/giảm cân,23.0,cao,2024_ngon gạo_gạo ngon_gạo thơm_gạo nứt,"['ngon gạo', 'gạo ngon', 'gạo thơm', 'gạo nứt', 'gạo lức', 'bún gạo', 'đẹp gạo', 'gạo tơi', 'dẫn gạo', 'ngon cơm']","['bún gạo lứt ăn ngon', 'bún gạo lứt ăn ngon', 'bún gạo lứt ăn ngon']"
2153,21,1.2 Nhu cầu ăn kiêng/giảm cân,16.0,cao,2153_ngon ăn_ăn ngonn_đồ ăn_cơm mềm,"['ngon ăn', 'ăn ngonn', 'đồ ăn', 'cơm mềm', 'ăn healthy', 'ăn ngán', 'cần ăn', 'mặn ăn', 'luộc ăn', 'cơm ăn']","['cơm ăn ngon không bị ngán', 'ăn ngon lại không bị lo về calo nạp vào', 'ăn ngon lại không bị lo về calo nạp vào']"
2395,18,1.2 Nhu cầu ăn kiêng/giảm cân,5.0,thấp,2395_ngoài gạo_gạo đóng_đổ gạo_trong gạo,"['ngoài gạo', 'gạo đóng', 'đổ gạo', 'trong gạo', 'hạt gạo', 'gạo vỡ', 'gạo ra', 'vo gạo', 'gạo chỉ', 'gạo đều']","['gạo lật loại chỉ xay bỏ vỏ trấu', 'gạo lứt loại nguyên hạt chỉ xay bỏ lớp vỏ trấu bên ngoài', 'gạo lứt loại nguyên hạt chỉ xay bỏ lớp vỏ trấu bên ngoài']"
2429,18,1.2 Nhu cầu ăn kiêng/giảm cân,17.0,cao,2429_bằng gạo_gạo bên_nhạt gạo_gạo ngoài,"['bằng gạo', 'gạo bên', 'nhạt gạo', 'gạo ngoài', 'số gạo', 'gạo đen', 'than gạo', 'nhau gạo', 'giao_hàng_nhanh gạo', 'nấu giống']","['gạo lứt tím than đen dẻo điện biên hữu cơ oganic loại 5 không', 'gạo lứt tím than dẻo điện biên', 'gạo lứt tím than dẻo điện biên']"
2471,18,1.2 Nhu cầu ăn kiêng/giảm cân,11.0,cao,2471_ăn nhất_ăn dứa_ăn mấy_ăn keto,"['ăn nhất', 'ăn dứa', 'ăn mấy', 'ăn keto', 'ăn vị', 'ăn ăn', 'xoài dứa', 'ăn nhàn', 'dứa xoài', 'ăn nghe']","['vị dứa xoài dễ ăn', 'vị dứa xoài dễ ăn nhất', 'vị dứa xoài dễ ăn nhất']"
2539,17,1.2 Nhu cầu ăn kiêng/giảm cân,12.0,cao,2539_gạo ngon_chuẩn gạo_bún gạo_mạch gạo,"['gạo ngon', 'chuẩn gạo', 'bún gạo', 'mạch gạo', 'ngon bún', 'dai ngon', 'ngon xĩu', 'ngon yến', 'lứt ngon', 'ngon thích']","['bún gạo lứt ngon', 'bún gạo lứt ngon', 'bún gạo lứt ngon']"
2540,17,1.2 Nhu cầu ăn kiêng/giảm cân,12.0,cao,2540_gạo đen_ngon gạo_chuẩn gạo_gạo lức,"['gạo đen', 'ngon gạo', 'chuẩn gạo', 'gạo lức', 'gạo nứt', 'bún gạo', 'từ gạo', 'ổn gạo', 'dẻo gạo', 'đen ngon']","['gạo lứt đen ngon', 'gạo lứt đen ngon dẻo', 'gạo lứt đen ngon dẻo']"
2609,16,1.2 Nhu cầu ăn kiêng/giảm cân,12.0,cao,2609_dẻo gạo_cơm lứt_dẻo cơm_bùi,"['dẻo gạo', 'cơm lứt', 'dẻo cơm', 'bùi', 'lứt dẻo', 'độ dẻo', '', '', '', '']","['gạo lứt dẻo', 'gạo lứt dẻo', 'gạo lứt dẻo']"
2670,16,1.2 Nhu cầu ăn kiêng/giảm cân,23.0,cao,2670_ngon gạo_dẻo gạo_gạo thơm_ngon_nhất gạo,"['ngon gạo', 'dẻo gạo', 'gạo thơm_ngon', 'nhất gạo', 'gạo lức', 'mua gạo', 'thơm_ngon dẻo', 'ngon mua', 'biên ngon', 'dẻo ngon']","['gạo lứt đen dẻo điện biên ngon', 'gạo lứt đen dẻo điện biên ngon', 'gạo lứt đen dẻo điện biên ngon']"
2772,15,1.2 Nhu cầu ăn kiêng/giảm cân,13.0,cao,2772_gạo nấu_nấu gạo_nấu cơm_ngâm gạo,"['gạo nấu', 'nấu gạo', 'nấu cơm', 'ngâm gạo', 'phần gạo', 'bát gạo', 'gạo thơm', 'gạo ngâm', 'cùng gạo', 'gạo lức']","['gạo ngâm xong nấu ăn dẻo', 'gạo lứt nấu nhiều lần ngâm trước 1 bát', 'gạo lứt nấu cơm ăn hết']"
2792,15,1.2 Nhu cầu ăn kiêng/giảm cân,16.0,cao,2792_ngon gạo_biển ăn_snack gạo_bánh gạo,"['ngon gạo', 'biển ăn', 'snack gạo', 'bánh gạo', 'gạo vị', 'gạo lức', 'gạo rong', 'biển ngon', 'rụm bánh', 'ngon bánh']","['bánh gạo lứt rong biển ngon', 'bánh gạo lứt rong biển ngon', 'bánh gạo lứt rong biển ngon']"
240,99,1.3 Lợi ích chức năng,6.0,trung bình,240_độc gan_giải độc_thải độc_chất đối_tượng_sử_dụng,"['độc gan', 'giải độc', 'thải độc', 'chất đối_tượng_sử_dụng', 'độc tố', 'độc hại', 'độc', 'chất gây', 'độc uống', 'ngộ độc']","['đối_tượng_sử_dụng thải độc gan', 'đối_tượng_sử_dụng thải độc gan', 'công_dụng đào thải độc tố']"
320,85,1.3 Lợi ích chức năng,6.0,trung bình,320_vitamin khoáng_nhiều vitamin_vitamin_khoáng chất,"['vitamin khoáng', 'nhiều vitamin', 'vitamin', 'khoáng chất', 'khoáng', 'chất tốt', 'chống oxy', 'khỏe tổng', 'dưỡng ẩm', 'oxy']","['chứa các vitamin khoáng chất tốt sức khỏe như', 'nhiều vitamin khoáng chất quan trọng hơn', 'lutein 20mg puritan pride sản phẩm chiết xuất từ thành phần thiên nhiên lành tính hỗ trợ bổ sung các vitamin khoáng chất tốt sức khỏe mắt giúp bảo vệ khỏi những tác nhân gây hại môi trường bên ngoài']"
703,51,1.3 Lợi ích chức năng,5.0,thấp,703_ăn chất_phẩm chưa_do ăn_nếu ăn,"['ăn chất', 'phẩm chưa', 'do ăn', 'nếu ăn', 'lượng chưa', 'nào chất', 'sảm phẩm', 'phẩm healthy', 'ăn sao', 'lượng chất']","['chưa ăn biết chất lượng', 'chất lượng chưa ăn biết', 'chất lượng chưa ăn biết']"
793,48,1.3 Lợi ích chức năng,6.0,trung bình,793_đẹp da_công_dụng đẹp_công_dụng_da công_dụng,"['đẹp da', 'công_dụng đẹp', 'công_dụng', 'da công_dụng', 'ngon đẹp', 'dụng đẹp', 'bộ', 'cụ', '', '']","['công_dụng đẹp da', 'công_dụng đẹp da', 'công_dụng đẹp da']"
1408,32,1.3 Lợi ích chức năng,11.0,cao,1408_protein_chất dinh_chất hạt_hạt dinh,"['protein', 'chất dinh', 'chất hạt', 'hạt dinh', 'tổng hợp', 'khoáng chất', 'các khoáng', 'chất béo', 'khoáng', 'chất tốt']","['protein các loại khoáng chất thiết yếu khác', 'protein các khoáng chất thiết yếu', 'protein các khoáng chất thiết yếu']"
1444,31,1.3 Lợi ích chức năng,11.0,cao,1444_ăn healthy_khỏe ăn_healthy ăn_healthy ngon,"['ăn healthy', 'khỏe ăn', 'healthy ăn', 'healthy ngon', 'khoẻ ăn', 'ăn lành', 'ăn tốt', 'thích ăn', 'ăn tươi', 'lại healthy']","['ăn tốt sức khoẻ', 'ăn tốt sức khoẻ', 'ăn tốt sức khoẻ']"
1473,31,1.3 Lợi ích chức năng,12.0,cao,1473_cholesterol_giảm stress_stress_soát cân,"['cholesterol', 'giảm stress', 'stress', 'soát cân', 'mạch giảm', 'khỏe tim', 'tim mạch', 'cân nặng', 'nặng giảm', 'quen ăn']","['giảm stress cholesterol', 'giảm stress cholesterol', 'hương_vị hàm lượng cholesterol trong trứng vấn đề gây băn khoăn liệu việc duy trì thói quen ăn hàng ngày ảnh hưởng tiêu đến sức khỏe tim mạch như nhiều lo ngại']"
1559,30,1.3 Lợi ích chức năng,5.0,thấp,1559_giảm stress_giảm căng_căng thẳng_căng bóng,"['giảm stress', 'giảm căng', 'căng thẳng', 'căng bóng', 'stress', 'việc căng', 'căng', 'giúp giảm', 'tăng cường', 'khoẻ giảm']","['giảm căng thẳng', 'giảm căng thẳng', 'giảm căng thẳng']"
1727,27,1.3 Lợi ích chức năng,11.0,cao,1727_khỏe ăn_ăn tốt_tốt ăn_ăn healthy,"['khỏe ăn', 'ăn tốt', 'tốt ăn', 'ăn healthy', 'rõ ăn', 'ăn chất_lượng_tốt', 'khoẻ ăn', 'mng ăn', 'healthy tốt', 'ăn để']","['ăn tốt sức khỏe', 'ăn tốt sức khỏe', 'ăn tốt sức khỏe']"
1757,27,1.3 Lợi ích chức năng,12.0,cao,1757_healthy ăn_ăn healthy_đồ healthy_bổ dưỡng,"['healthy ăn', 'ăn healthy', 'đồ healthy', 'bổ dưỡng', 'phẩm healthy', 'ăn tốt', 'healthy ngon', 'vặt healthy', 'ngon healthy', 'khoẻ ăn']","['mua ăn healthy', 'ăn ngon healthy', 'đồ ăn ngon healthy']"
